Net generation for all fuels (utility-scale) monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=g&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&columnchart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=201702&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
11:15:20 GMT-0400 (EDT)
Data source: U.S. Energy Information Administration
Month,New England : all sectors thousand megawatthours,Middle Atlantic : all sectors thousand megawatthours,East North Central : all sectors thousand megawatthours,West North Central : all sectors thousand megawatthours,South Atlantic : all sectors thousand megawatthours,East South Central : all sectors thousand megawatthours,Mountain : all sectors thousand megawatthours,West South Central : all sectors thousand megawatthours,Pacific Noncontiguous : all sectors thousand megawatthours,Pacific Contiguous : all sectors thousand megawatthours
Mar 2014,9263.17427,35893.15054,53267.0458,28534.35755,63461.10389,29536.44419,28847.12834,51438.00192,1334.753,30247.89954
Feb 2014,8556.75721,35501.60126,51269.92032,28751.8888,62147.17148,30136.34343,28276.54772,51258.13496,1295.25847,27154.81191
Jan 2014,10355.77372,38929.37074,61195.64355,32302.05337,75198.55458,37304.27736,31214.05673,58512.22583,1396.50616,30846.24892
Dec 2013,9632.76422,37430.40224,57194.23469,29667.74627,63419.47226,31843.32898,32099.15769,57327.02877,1517.48681,32889.62582
Nov 2013,8884.81028,32629.98328,50067.48719,26903.10188,59134.54763,27797.15708,28407.6849,50303.86132,1417.46929,28993.53902
Oct 2013,9119.74017,30831.81823,48961.17389,25912.88541,60813.58392,27785.60585,29132.36295,51409.23758,1486.47773,29472.57675
Sep 2013,9493.73449,33788.76784,49174.96091,26749.11305,65552.07477,30655.89313,31802.8156,60959.22803,1382.93901,31381.37472
Aug 2013,10547.72404,38084.84208,56554.88289,30158.05696,73355.01749,34913.54934,36301.75775,69327.14538,1423.7704,34618.99883
Jul 2013,12582.83361,43167.09894,57798.3269,30696.38204,74878.27644,34292.84314,37352.50346,66284.46743,1407.50943,36385.37939
Jun 2013,9956.47512,35796.33278,50928.0299,27334.13799,69385.72827,33034.36234,34087.62998,62822.70275,1302.6547,32174.5934
May 2013,8857.52269,33618.47515,48240.00841,24956.41347,59929.4195,29303.13504,30173.25646,54762.68787,1371.26078,30943.46105
Apr 2013,8433.19747,32580.81087,45772.29788,24333.37865,54244.59686,27729.82586,27560.49157,47482.4906,1338.12403,29857.65452
Mar 2013,9132.29758,36630.8237,51649.56295,27327.93417,59320.37967,32752.97226,29269.40543,49599.3614,1360.05436,28356.04251
Feb 2013,8576.54085,35089.64419,50273.58286,26145.44366,57273.87009,30316.1266,27984.18637,45775.90454,1284.96177,27007.81907
Jan 2013,10218.44425,38004.40285,55458.62916,30117.51221,63669.03582,32351.02879,32280.27937,53332.39944,1471.16561,32064.48042
Dec 2012,9783.06735,35612.95236,52273.07699,29120.62065,60226.44775,31198.30735,31047.10723,52106.927,1734.83526,31531.40722
Nov 2012,9138.79562,31509.69268,48103.81366,25764.68949,56716.10361,29727.29361,28537.38699,46974.10156,1464.86733,28039.10646
Oct 2012,9113.10672,32161.5389,46231.33326,25529.68954,58153.58546,28028.23628,30137.04812,51074.32023,1513.79604,29709.27614
