Net generation for all fuels (utility-scale) monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=g&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&columnchart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=201702&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
11:15:20 GMT-0400 (EDT)
Data source: U.S. Energy Information Administration
Month,New England : all sectors thousand megawatthours,Middle Atlantic : all sectors thousand megawatthours,East North Central : all sectors thousand megawatthours,West North Central : all sectors thousand megawatthours,South Atlantic : all sectors thousand megawatthours,East South Central : all sectors thousand megawatthours,Mountain : all sectors thousand megawatthours,West South Central : all sectors thousand megawatthours,Pacific Noncontiguous : all sectors thousand megawatthours,Pacific Contiguous : all sectors thousand megawatthours
Oct 2004,10005.77054,29714.35885,51992.33562,23800.78287,61171.91388,30061.61689,27587.94399,49051.30754,1516.76659,27547.42611
Sep 2004,10880.00685,33532.79068,53960.41931,25272.60178,65744.37412,31016.0871,30033.80909,54067.55873,1524.85947,29589.69077
Aug 2004,12229.15561,38104.98395,56535.15711,26891.97107,75030.35124,34201.76016,32914.2766,59137.43263,1581.95084,31811.99786
Jul 2004,11751.50663,38485.56252,58203.06911,27564.8551,77668.59873,35896.73508,33046.54726,60307.23996,1563.2488,32844.334
Jun 2004,10899.77462,34684.26526,55071.15482,24462.58875,71870.68163,32805.7226,30020.82709,54052.1152,1452.19347,29765.75541
May 2004,10319.5973,33864.14248,52551.79312,23031.78183,67000.60739,31380.20505,28063.2248,51292.96452,1432.78514,28443.16202
Apr 2004,10234.71793,30020.0257,48399.80126,22192.80359,57487.91826,26463.37227,24436.81195,42752.64135,1391.51801,27180.30386
Mar 2004,11345.09036,32623.58007,51926.06668,24060.58345,61011.46057,27423.05592,26552.50416,44164.49265,1453.84867,28251.41301
Feb 2004,10942.16977,33603.91927,51573.39948,24083.39068,63884.57626,30234.90409,26001.51243,45341.01744,1437.15841,27177.8617
Jan 2004,12812.29419,37349.47291,57739.10604,27364.03789,71454.26069,32587.46747,28510.04279,47967.55988,1538.70777,29222.67735
Dec 2003,11438.169,35370.914,55382.546,26702.342,67135.466,31947.059,27452.223,45771.601,1550.022,28930.087
Nov 2003,10284.352,30843.772,50502.424,23628.204,58414.055,27788.516,25605.799,42642.452,1473.574,26683.562
Oct 2003,10654.518,31233.559,50730.678,24005.327,59437.297,28399.884,26456.96,45624.594,1532.675,28665.44
Sep 2003,10907.562,31836.413,52205.126,23988.71,66157.922,30088.482,28114.961,49775.057,1461.245,28600.057
Aug 2003,12683.47,38985.3,60663.152,29293.929,77119.306,36189.933,31913.841,61750.223,1457.924,31759.244
Jul 2003,12243.51,38018.369,58316.13,29068.718,75233.134,34918.346,32225.958,59305.49,1466.661,33599.731
Jun 2003,10247.181,33334.138,50565.083,24596.746,67708.51,30295.636,27627.784,53402.235,1378.187,29538.196
May 2003,9444.872,30502.843,47106.761,22685.616,63369.541,28424.177,25967.99,50413.848,1400.969,28228.269
Apr 2003,9977.719,29807.696,46435.333,21477.203,58622.988,25535.342,23094.451,42648.2,1353.612,26803.155
Mar 2003,10285.218,31964.619,51989.076,24217.188,61494.652,27370.328,25269.39,42588.416,1454.009,27684.37
Feb 2003,10273.044,32341.268,50757.104,23866.509,61302.16,28040.828,24197.944,42515.706,1323.947,24630.264
Jan 2003,11708.305,37153.287,57397.676,27151.293,71778.453,32577.578,27358.174,48674.859,1462.277,26726.997
Dec 2002,11364.732,35861.865,54176.121,26401.096,65314.301,30923.614,27488.343,44902.749,1601.983,26798.907
Nov 2002,10640.537,31972.255,50817.7,23937.809,57772.548,28279.112,25596.168,41399.598,1528.996,24344.835
Oct 2002,10308.022,32143.287,51439.516,24116.337,64104.233,27368.552,25610.659,45025.163,1591.44,25352.88
Sep 2002,10023.35,34386.461,54543.371,24559.749,67855.391,30432.891,27197.755,53384.461,1547.779,27348.231
Aug 2002,11445.315,40348.775,61452.029,27537.532,76125.326,34982.695,28901.466,61506.443,1569.297,30716.949
Jul 2002,11688.305,40178.81,63369.038,28632.149,76905.9,35518.08,29925.997,60577.849,1565.459,33180.52
Jun 2002,10143.55,35213.974,55004.018,25556.316,68564.593,32285.343,27017.073,54379.65,1511.269,31348.779
May 2002,9485.925,31146.628,49039.189,21748.948,62580.261,29326.287,26613.706,48949.683,1517.479,27266.46
Apr 2002,9202.636,29451.91,47658.76,21344.027,58310.289,27790.241,23986.54,43967.297,1489.786,26646.76
Mar 2002,10056.884,30646.338,51176.451,23447.522,59590.349,28651.743,25459.572,44172.408,1528.163,27819.582
Feb 2002,9210.453,29982.475,46096.875,21724.824,55268.507,27574.581,23893.163,42109.981,1391.688,24573.165
Jan 2002,10770.4,34151.171,52278.902,25297.435,62815.78,30899.33,26444.734,47019.282,1587.056,28677.384
Dec 2001,10365.099,33184.985,51259.562,24359.674,55498.722,31284.999,26754.936,44100.471,1502.558,27185.322
Nov 2001,9434.711,30331.938,47472.661,22206.773,50732.604,27726.556,25309.309,40321.756,1427.873,23969.765
Oct 2001,9915.666,31233.526,48775.486,23181.434,55230.161,30491.364,25468.017,43196.364,1493.797,25747.793
Sep 2001,9988.828,31759.84,48064.838,23284.229,59476.65,31970.336,25513.056,48879.6,1538.896,26452.595
Aug 2001,11520.47,39574.742,59338.128,27469.184,75129.593,36558.802,29175.196,59357.566,1544.612,30864.534
Jul 2001,10220.887,36637.41,57249.317,27361.62,70454.947,35550.328,29648.592,59903.407,1489.953,29097.237
Jun 2001,10059.375,34862.459,52609.006,23618.983,66210.028,31979.553,27274.881,51577.123,1361.883,28140.685
May 2001,8591.5,30940.188,48696.673,20745.501,59024.877,29568.561,27219.851,47243.819,1370.549,27090.104
Apr 2001,8320.897,29474.163,45951.256,19771.091,55824.732,26477.538,23517.664,41374.924,1324.576,26042.028
Mar 2001,9505.969,33902.556,51377.128,22010.841,58510.94,29401.75,25869.711,40834.225,1460.429,27832.996
Feb 2001,8662.316,31218.925,48200.274,22083.925,54571.094,27306.648,25227.419,39136.222,1347.014,25186.362
Jan 2001,10005.309,36791.674,55695.478,25599.902,67187.363,32114.727,27506.369,46990.396,1514.718,29087.227 
